Condition,Time,N,mean,sd
"Control_Crr_plus",100,24,-1.20910036563873,0.879083514213562
"Control_Crr_plus",104,24,-1.45855581760406,0.89553439617157
"Control_Crr_plus",108,24,-1.68567895889282,0.907374441623688
"Control_Crr_plus",112,24,-1.87710237503052,0.911953449249268
"Control_Crr_plus",116,24,-2.02062344551086,0.908049583435059
"Control_Crr_plus",120,24,-2.10598373413086,0.896126687526703
"Control_Crr_plus",124,24,-2.1255738735199,0.878303825855255
"Control_Crr_plus",128,24,-2.07505202293396,0.857965171337128
"Control_Crr_plus",132,24,-1.95362460613251,0.83921480178833
"Control_Crr_plus",136,24,-1.76421022415161,0.825884640216827
"Control_Crr_plus",140,24,-1.51330387592316,0.820479214191437
"Control_Crr_plus",144,24,-1.21059799194336,0.823591113090515
"Control_Crr_plus",148,24,-0.86841207742691,0.833738148212433
"Control_Crr_plus",152,24,-0.501004815101624,0.847885966300964
"Control_Crr_plus",156,24,-0.123672641813755,0.86243349313736
"Control_Crr_plus",160,24,0.248168453574181,0.874037563800812
"Control_Crr_plus",164,24,0.599782288074493,0.880345582962036
"Control_Crr_plus",168,24,0.917993307113647,0.880394577980042
"Control_Crr_plus",172,24,1.19188976287842,0.874684631824493
"Control_Crr_plus",176,24,1.41335296630859,0.865272700786591
"Control_Crr_plus",180,24,1.57734405994415,0.855770230293274
"Control_Crr_plus",184,24,1.68193185329437,0.850934267044067
"Control_Crr_plus",188,24,1.72827088832855,0.855757474899292
"Control_Crr_plus",192,24,1.72031581401825,0.874281942844391
"Control_Crr_plus",196,24,1.66423463821411,0.908253371715546
"Control_Crr_plus",200,24,1.56787431240082,0.956385314464569
"Control_Crr_plus",204,24,1.44016551971436,1.0145788192749
"Control_Crr_plus",208,24,1.29036617279053,1.07684028148651
"Control_Crr_plus",212,24,1.12747550010681,1.13653707504272
"Control_Crr_plus",216,24,0.959708988666534,1.18727052211761
"Control_Crr_plus",220,24,0.794043958187103,1.22360992431641
"Control_Crr_plus",224,24,0.635969340801239,1.24169564247131
"Control_Crr_plus",228,24,0.489346593618393,1.23970854282379
"Control_Crr_plus",232,24,0.356392532587051,1.21833789348602
"Control_Crr_plus",236,24,0.237855195999146,1.18096232414246
"Control_Crr_plus",240,24,0.133271813392639,1.13405930995941
"Control_Crr_plus",244,24,0.0413117259740829,1.0870555639267
"Control_Crr_plus",248,24,-0.0398459769785404,1.0510847568512
"Control_Crr_plus",252,24,-0.112185262143612,1.03657102584839
"Control_Crr_plus",256,24,-0.177513942122459,1.0495228767395
"Control_Crr_plus",260,24,-0.237226024270058,1.0887793302536
"Control_Crr_plus",264,24,-0.2921042740345,1.14633584022522
"Control_Crr_plus",268,24,-0.342226982116699,1.21048402786255
"Control_Crr_plus",272,24,-0.387047499418259,1.26924538612366
"Control_Crr_plus",276,24,-0.425448030233383,1.31248593330383
"Control_Crr_plus",280,24,-0.455972760915756,1.33292210102081
"Control_Crr_plus",284,24,-0.477036505937576,1.32645976543427
"Control_Crr_plus",288,24,-0.487138509750366,1.29218208789825
"Control_Crr_plus",292,24,-0.485139936208725,1.23242139816284
"Control_Crr_plus",296,24,-0.470457434654236,1.15259420871735
"Control_Crr_plus",300,24,-0.443190604448318,1.06112885475159
"Control_Crr_plus",304,24,-0.404206603765488,0.969278872013092
"Control_Crr_plus",308,24,-0.355170249938965,0.890369832515717
"Control_Crr_plus",312,24,-0.298391819000244,0.837397336959839
"Control_Crr_plus",316,24,-0.236701786518097,0.818808734416962
"Control_Crr_plus",320,24,-0.173266127705574,0.834607303142548
"Control_Crr_plus",324,24,-0.111332915723324,0.876771152019501
"Control_Crr_plus",328,24,-0.0540136806666851,0.934157013893127
"Control_Crr_plus",332,24,-0.00398942874744534,0.997072577476501
"Control_Crr_plus",336,24,0.0366232767701149,1.05928444862366
"Control_Crr_plus",340,24,0.0663986504077911,1.11785912513733
"Control_Crr_plus",344,24,0.0847219005227089,1.17211294174194
"Control_Crr_plus",348,24,0.091770775616169,1.22251319885254
"Control_Crr_plus",352,24,0.0884413793683052,1.26933813095093
"Control_Crr_plus",356,24,0.0762259289622307,1.31194829940796
"Control_Crr_plus",360,24,0.057017982006073,1.34841072559357
"Control_Crr_plus",364,24,0.0328983031213284,1.37553608417511
"Control_Crr_plus",368,24,0.00596508895978332,1.38947200775146
"Control_Crr_plus",372,24,-0.0219102948904037,1.38632941246033
"Control_Crr_plus",376,24,-0.0491922795772552,1.36297476291656
"Control_Crr_plus",380,24,-0.0748259052634239,1.31777620315552
"Control_Crr_plus",384,24,-0.0983501970767975,1.25126099586487
"Control_Crr_plus",388,24,-0.119784586131573,1.1667286157608
"Control_Crr_plus",392,24,-0.139662861824036,1.07099163532257
"Control_Crr_plus",396,24,-0.158911153674126,0.975115418434143
"Control_Crr_plus",400,24,-0.178616881370544,0.894576370716095
"Control_Crr_plus",404,24,-0.199938580393791,0.847100257873535
"Control_Crr_plus",408,24,-0.223871365189552,0.845901072025299
"Control_Crr_plus",412,24,-0.251117438077927,0.89140123128891
"Control_Crr_plus",416,24,-0.281967371702194,0.97063934803009
"Control_Crr_plus",420,24,-0.316157609224319,1.06506311893463
"Control_Crr_plus",424,24,-0.352872997522354,1.15761840343475
"Control_Crr_plus",428,24,-0.390751570463181,1.235435962677
"Control_Crr_plus",432,24,-0.4279865026474,1.29006445407867
"Control_Crr_plus",436,24,-0.462418109178543,1.31706869602203
"Control_Crr_plus",440,24,-0.49172767996788,1.3157913684845
"Control_Crr_plus",444,24,-0.513615846633911,1.28917574882507
"Control_Crr_plus",448,24,-0.525955379009247,1.24355483055115
"Control_Crr_plus",452,24,-0.52702134847641,1.18845999240875
"Control_Crr_plus",456,24,-0.515617430210114,1.13568449020386
"Control_Crr_plus",460,24,-0.491146206855774,1.09721374511719
"Control_Crr_plus",464,24,-0.453691989183426,1.08201551437378
"Control_Crr_plus",468,24,-0.404012441635132,1.09271585941315
"Control_Crr_plus",472,24,-0.343538761138916,1.12462949752808
"Control_Crr_plus",476,24,-0.274198621511459,1.16787695884705
"Control_Crr_plus",480,24,-0.198311790823936,1.21121621131897
"Control_Crr_plus",484,24,-0.118469208478928,1.24487686157227
"Control_Crr_plus",488,24,-0.0373017303645611,1.26188123226166
"Control_Crr_plus",492,24,0.042604748159647,1.25864255428314
"Control_Crr_plus",496,24,0.118930868804455,1.23477673530579
"Control_Crr_plus",500,24,0.189755514264107,1.19265401363373
"Control_Crr_plus",504,24,0.253571569919586,1.13684165477753
"Control_Crr_plus",508,24,0.309379756450653,1.07341325283051
"Control_Crr_plus",512,24,0.356635421514511,1.00912415981293
"Control_Crr_plus",516,24,0.395206362009048,0.950414836406708
"Control_Crr_plus",520,24,0.425352543592453,0.90233588218689
"Control_Crr_plus",524,24,0.447555512189865,0.867636740207672
"Control_Crr_plus",528,24,0.462486147880554,0.846564114093781
"Control_Crr_plus",532,24,0.470855087041855,0.837521970272064
