Condition,TimePnt,Channel,Theta,Radius,Amp
"Control_Crr_plus",185,"E100",119.608852342156,0.619796074499157,-1.188564
"Control_Crr_plus",185,"E101",120.677320845054,0.509369308337971,-1.357854
"Control_Crr_plus",185,"E102",107.449713865737,0.403970919226589,-0.5066964
"Control_Crr_plus",185,"E103",96.6164756775109,0.313918875216249,-0.08316752
"Control_Crr_plus",185,"E104",87.0229471585147,0.225996621106973,0.1334092
"Control_Crr_plus",185,"E105",75.4318344800771,0.147728378465659,0.8693798
"Control_Crr_plus",185,"E106",38.1339983808221,0.0734107867662809,1.370901
"Control_Crr_plus",185,"E107",111.70656890927,0.723915285422924,-0.3517037
"Control_Crr_plus",185,"E108",104.33175744558,0.52650285683909,-0.4278683
"Control_Crr_plus",185,"E109",89.7507902366152,0.410156350954595,0.2487713
"Control_Crr_plus",185,"E110",76.9225935088761,0.301354251938023,0.5210071
"Control_Crr_plus",185,"E111",60.4680126360769,0.227743430935227,0.9808404
"Control_Crr_plus",185,"E112",36.8151001737827,0.156184910447561,1.395382
"Control_Crr_plus",185,"E113",86.2152767414257,0.74376017977384,0.2797986
"Control_Crr_plus",185,"E114",79.4138878742049,0.650345193843936,0.5605562
"Control_Crr_plus",185,"E115",83.2585491531442,0.538619055341259,0.4608503
"Control_Crr_plus",185,"E116",66.4909622507194,0.399530300113236,0.7929906
"Control_Crr_plus",185,"E117",53.1443516754078,0.312634284160053,1.187795
"Control_Crr_plus",185,"E118",36.7591949568984,0.261605763086976,1.342621
"Control_Crr_plus",185,"E119",69.4311839138038,0.785439160398232,0.4358236
"Control_Crr_plus",185,"E120",69.6547868585238,0.705974736353449,0.6614637
"Control_Crr_plus",185,"E121",61.1312193439425,0.634138508679676,0.8178217
"Control_Crr_plus",185,"E122",57.1790106114874,0.514906388993219,1.032139
"Control_Crr_plus",185,"E123",46.1789093469774,0.389962605760964,1.18287
"Control_Crr_plus",185,"E124",36.5243617118728,0.332080475646616,1.34298
"Control_Crr_plus",185,"E125",53.5214920771717,0.66716702053212,0.8928352
"Control_Crr_plus",185,"E126",29.3795279962613,0.725315993928263,0.8061244
"Control_Crr_plus",185,"E127",-29.3795279962613,0.725315993928263,0.734967
"Control_Crr_plus",185,"E128",-53.5214920771717,0.66716702053212,0.7012455
"Control_Crr_plus",185,"Cz",-0,0,1.043119
"Control_L5_plus",185,"E1",46.3515894409914,0.599228196701221,0.511778
"Control_L5_plus",185,"E2",38.2646318578571,0.488552533066186,1.181126
"Control_L5_plus",185,"E3",26.8465607545896,0.390419967902332,1.832679
"Control_L5_plus",185,"E4",21.874325153333,0.316984735973187,2.143093
"Control_L5_plus",185,"E5",14.5819442660621,0.226537403184609,2.545916
"Control_L5_plus",185,"E6",0,0.143070495433133,2.805789
"Control_L5_plus",185,"E7",-38.1339983808221,0.0734107867662809,2.358467
"Control_L5_plus",185,"E8",27.8257963683378,0.547327521600941,0.8627804
"Control_L5_plus",185,"E9",16.8763273916297,0.462858630223561,1.562191
"Control_L5_plus",185,"E10",11.8725454091428,0.390533007129712,2.029984
"Control_L5_plus",185,"E11",0,0.320243247846092,2.522505
"Control_L5_plus",185,"E12",-14.5819442660621,0.226537403184609,2.700178
"Control_L5_plus",185,"E13",-36.8151001737827,0.156184910447561,2.447074
"Control_L5_plus",185,"E14",7.63371078286657,0.531422510063342,1.141144
